,Image,F1,Jaccard,Recall,Precision
75,294.png,0.9454545454545455,0.896551724137931,0.9065550906555091,0.9878419452887538
76,2157.png,0.15486725663716816,0.08393285371702638,0.08393285371702638,1.0
77,2528.png,0.9051808406647116,0.8267857142857142,0.980412916887242,0.8406718111665911
78,2527.png,0.8426178418387222,0.728037697744867,0.7342158859470469,0.9885740402193784
79,2075.png,0.8259558557471958,0.70351345798233,0.7772985244040863,0.8811116829644879
80,2322.png,0.8045007032348805,0.6729411764705883,0.6729411764705883,1.0
81,3034.png,0.8355506789192154,0.7175500588928151,0.7175500588928151,1.0
82,1851.png,0.8664546899841017,0.7643758765778401,0.823262839879154,0.9144295302013423
83,676.png,0.963808025177026,0.9301442672741078,0.9365443425076453,0.9927066450567261
84,1818.png,0.9094922737306844,0.8340080971659919,0.9559164733178654,0.8673684210526316
85,2906.png,0.0,0.0,0.0,0.0
86,1840.png,0.8280701754385965,0.7065868263473054,0.9957805907172996,0.7087087087087087
87,560.png,0.032,0.016260162601626018,0.016260162601626018,1.0
88,1337.png,0.8724584103512014,0.7737704918032787,1.0,0.7737704918032787
89,1384.png,0.8380716934487021,0.7212765957446808,1.0,0.7212765957446808
90,2936.png,0.9339667458432305,0.8761140819964349,0.9001831501831502,0.9703849950641659
91,1579.png,0.950191570881226,0.9051094890510949,0.9872611464968153,0.9158050221565731
92,678.png,0.9602569249297471,0.9235521235521236,0.9336455893832943,0.9884297520661157
93,555.png,0.9628924833491912,0.9284403669724771,0.9583333333333334,0.9674952198852772
94,1885.png,0.8020477815699658,0.6695156695156695,1.0,0.6695156695156695
95,2471.png,0.4586864406779661,0.29759450171821306,1.0,0.29759450171821306
96,1769.png,0.9692868297761582,0.9404040404040404,0.9647668393782384,0.9738493723849372
97,1720.png,0.8012820512820512,0.6684491978609626,0.6830601092896175,0.9689922480620154
98,2465.png,0.7511230907457324,0.6014388489208633,0.999203187250996,0.6017274472168906
99,2255.png,0.6520787746170679,0.4837662337662338,0.4837662337662338,1.0
100,1960.png,0.17301038062283738,0.0946969696969697,0.10088781275221953,0.6067961165048543
101,21.png,0.9407191448007775,0.8880733944954129,0.9877551020408163,0.8979591836734694
102,26.png,0.9135802469135803,0.8409090909090909,1.0,0.8409090909090909
103,2405.png,0.9168278529980658,0.8464285714285714,0.8705234159779615,0.9683350357507661
104,335.png,0.9104294478527607,0.8355855855855856,0.8489702517162472,0.9814814814814815
